edge_from,edge_to,weight
50372074,7571225,1494
2485537415,4502562,1494
168680287,199944782,1489
112676551,112676551,1486
2596747816,184954342,1484
186126824,128556326,1482
2486202937,199944782,1482
2597175965,414566,1482
184954342,897311980,1481
38090728,38090728,1480
94821547,67831204,1476
118988714,62148650,1476
175310385,90422530,1476
106296714,196139623,1472
185806230,168680287,1464
2595047959,147316732,1463
88061139,88061139,1461
123849098,123849098,1453
94821547,84775595,1450
45003570,45003570,1448
192650101,103482838,1447
189354248,189354248,1447
21401918,51360982,1446
193006928,90119964,1446
207023548,42080949,1445
42080949,118988714,1444
33368595,196139623,1442
103225281,86033158,1442
116712389,116712389,1442
129640837,134177497,1439
414566,157670870,1436
115304631,111326731,1434
45693802,30698027,1430
58031724,184954342,1428
18902827,4502562,1427
103321696,171741597,1427
2898246533,51360982,1427
64117906,64117906,1426
50372074,103321696,1426
73535193,148709879,1425
157670870,60436882,1424
63392143,158797327,1421
52430896,193920097,1421
73060445,199944782,1419
115004586,63392143,1419
64117906,115304631,1419
10169007,30698027,1417
414566,185008460,1416
167262187,134668137,1415
103321696,81410195,1413
68913162,80113298,1412
10936095,62238642,1410
183498172,134177497,1410
171169652,171169652,1409
101949793,63459445,1407
103321696,191798613,1405
169988927,169988927,1404
50372074,184954342,1401
63459445,146764194,1400
85427048,10936095,1398
147316732,10936095,1397
84775595,185367456,1397
18902827,204851967,1397
59933527,141020589,1396
175310385,63459445,1394
39243548,39243548,1394
10169007,103321696,1393
151550017,165512578,1392
76152103,134177497,1392
82675988,10936095,1391
27769002,125775545,1389
50372074,165473669,1387
73060445,67831204,1386
44278595,44278595,1385
128025751,199497470,1384
193624734,193624734,1383
98930721,98930721,1383
37879656,205010575,1380
45693802,168680287,1379
23688054,4502562,1378
78571599,78571599,1377
157670870,100835903,1375
19032547,91767247,1372
205498627,63459445,1371
199944782,185008460,1367
90727058,130014885,1366
2596500785,196139623,1365
107516304,129839026,1365
897311980,897311980,1364
45693802,58031724,1362
91329792,91329792,1361
157670870,118992489,1359
142305363,148709879,1355
23688054,196647941,1355
202446260,202446260,1351
42080949,184954342,1351
13144211,118988714,1350
902237881,18902827,1347
134177497,42080949,1345
140556538,414566,1345
13144211,103482838,1345
18902827,186126824,1344
73060445,84775595,1344
103321696,55826652,1343
105424869,414566,1340
104924063,134668137,1340
97130795,62238642,1339
204131793,204131793,1336
101949793,10892749,1334
64117906,154637859,1332
120629676,199944782,1326
183498172,42080949,1325
2764999920,192650101,1324
165473669,203348814,1322
2500830676,63459445,1321
130014885,90727058,1317
165473669,165512578,1316
66221708,66221708,1315
27455496,27455496,1315
18902827,72366220,1315
66221708,25538012,1314
115173108,137030581,1314
7571225,7571225,1313
199944782,118988714,1313
90466346,1032290579,1313
69141925,63459445,1312
200807567,100835903,1309
104924063,52395412,1307
19778766,207023548,1304
63459445,69141925,1304
148503350,125775545,1300
10936095,146764194,1300
5986019,52395412,1299
2764346689,93787993,1297
101949793,43295729,1296
2764847869,190936789,1295
163534328,163534328,1294
33323087,81410195,1294
27769002,193920097,1291
101949793,115304631,1291
192650101,151820558,1290
2898246533,184954342,1290
90727058,103482838,1289
76152103,93787993,1289
156904493,156904493,1288
117494069,117494069,1287
192650101,45693802,1285
139930977,139930977,1285
111326731,168680287,1284
81616010,128556326,1283
414566,62148650,1283
166990724,166990724,1283
121340289,121340289,1283
199280970,57293258,1282
103047102,928796702,1280
90727058,89324355,1279
900972176,13144211,1278
171741597,193920097,1278
140962798,45693802,1277
154637859,51360982,1276
133078663,133078663,1275
82675988,158797327,1272
35920007,35920007,1271
116712389,202812398,1271
125775545,55826652,1270
110206669,151820558,1270
49967189,69141925,1268
